PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
20,0,0,0,3,3.5,3.25,3.25,5.8,6.6,0.74,6,7,1.03,5.9,7,1.13,5.6,5.5,-0.08
844,0,0,0,2,2.5,1.75,3.5,4.9,4.8,-0.11,5.3,6,0.24,4.8,7,2.15,4.5,2,-2.51
407,1,0,0,1,2.5,2.25,1.5,2.8,3.8,0.94,3.4,4,0.63,2.8,3,0.24,1.8,2.7,0.9
327,0,0,0,2,2.25,2.5,2.5,3.7,4.4,0.64,4.2,4,-0.16,3.7,6,1.82,2.9,4,1.09
503,0,0,0,2,2.75,2.25,2.5,3.9,2.3,-1.62,4.3,2,-2.31,3.8,3,-0.81,3.1,0.3,-2.78
851,0,0,0,2,3.25,2.25,2.25,3.7,2.7,-1.06,4.2,3,-1.16,3.7,3,-0.68,2.9,0.5,-2.41
215,0,0,1,2,2.25,1.75,2.5,3.3,3.4,0.09,3.8,4,0.18,3.3,4,0.7,2.4,1,-1.39
415,0,0,0,1,2.5,1.75,1.25,2.5,3.7,1.13,3.1,6,2.39,2.4,3,0.6,1.4,1,-0.45
950,0,0,0,2,2.75,2.25,2.5,3.9,4,0.08,4.3,6,1.19,3.8,4,0.19,3.1,1.3,-1.78
318,0,0,1,2,2.5,2.5,3.5,5.1,2,-3.09,5.4,2,-3.37,5,3,-2.04,4.7,0.7,-4.03
314,1,0,1,1,2.5,1.75,1.25,2.4,1.6,-0.77,2.9,2,-0.93,2.2,2,-0.2,1.3,0,-1.27
543,1,0,0,2,2.75,2.5,2.5,4.1,3.1,-1.09,4.6,4,-0.56,4.1,3,-1.09,3.5,1.8,-1.65
935,1,0,0,2,2.75,1.75,2.5,3.7,1.3,-2.46,4.2,1,-3.16,3.7,2,-1.68,2.9,0.3,-2.58
580,0,0,0,2,2.5,2.75,2.75,4.7,2.5,-2.15,5,2,-3.01,4.6,4,-0.57,4.2,0.7,-3.49
278,0,0,0,3,3.5,2.5,3.25,6.1,5.5,-0.64,6.2,7,0.77,6.3,6,-0.78,6,5,-0.98
427,0,0,0,2,3.25,2.5,2.25,3.9,3.1,-0.82,4.3,4,-0.31,3.8,3,-0.81,3.1,1.3,-1.78
172,0,0,0,3,3.5,3.25,3.25,6.5,4.8,-1.69,6.5,6,-1.02,6.7,4,-2.7,6.4,4.2,-2.22
113,0,0,0,3,3.5,3.5,2.75,5.8,3.9,-1.91,6,6,-0.47,5.9,3,-2.87,5.6,2.3,-3.25
109,0,0,0,2,2.5,2.75,2.5,4.1,3.5,-0.69,4.6,6,0.94,4.1,4,-0.09,3.5,1,-2.48
66,0,0,1,2,3.25,2.5,3.25,4.9,2.1,-2.88,5.3,4,-1.26,4.8,3,-1.85,4.5,0.7,-3.85
261,0,0,0,2,1.25,2.25,2.5,3.3,2.4,-0.91,3.8,2,-1.82,3.3,4,0.7,2.4,0,-2.39
390,0,0,0,3,3.5,2.75,2.75,5.1,5.7,0.56,5.4,7,1.63,5,4,-1.04,4.7,5.5,0.8
216,0,0,1,3,3.5,2.75,3.25,5.5,3.8,-1.71,5.7,4,-1.73,5.5,4,-1.52,5.2,2.3,-2.88
962,0,0,0,3,3.5,3.25,3.5,6.4,5.2,-1.21,6.5,6,-1,6.5,6,-1.01,6.3,4,-2.26
881,0,0,0,2,2.75,1.75,2.5,3.5,2.6,-0.91,4,3,-0.99,3.5,3,-0.49,2.6,0.7,-1.97
599,1,0,0,2,3.25,2.75,2.5,4.7,3.5,-1.15,5,4,-1.01,4.6,4,-0.57,4.2,1.3,-2.82
56,1,0,0,1,1.5,1.25,2.5,2.8,2.5,-0.31,3.4,2,-1.37,2.8,3,0.24,1.8,0.5,-1.26
914,0,0,0,2,2.5,1.75,2.25,3.3,2.8,-0.51,3.8,3,-0.82,3.3,4,0.7,2.4,0.7,-1.72
854,0,0,0,2,2.25,2.25,2.5,3.7,2.2,-1.51,4.2,3,-1.16,3.7,2,-1.68,2.9,1,-1.91
237,0,0,1,1,2.5,1.75,1.5,2.7,2.5,-0.21,3.2,2,-1.23,2.6,3,0.42,1.6,1,-0.59
191,0,0,0,2,3.25,2.75,1.5,3.5,3.2,-0.31,4,6,1.51,3.5,3,-0.49,2.6,1,-1.64
457,0,0,0,2,3.25,2.5,1.5,3.1,2.8,-0.39,3.6,3,-0.64,3.1,3,-0.13,2.2,0.7,-1.51
377,0,0,0,2,3.25,2.75,1.75,3.7,3.3,-0.46,4.2,4,-0.16,3.7,3,-0.68,2.9,0.7,-2.25
897,0,0,0,3,3.25,2.75,3.25,5.1,4.2,-0.94,5.4,6,0.13,5,4,-1.04,4.7,2,-2.7
698,1,0,0,2,2.75,2.25,2.5,4.1,2.9,-1.24,4.6,3,-1.56,4.1,4,-0.09,3.5,1.3,-2.15
854,1,1,0,3,3.5,3.75,3.75,7.3,5.7,-1.62,7.2,7,-0.21,7.5,6,-2.01,7.3,6,-1.27
80,0,0,0,2,2.5,2.25,1.75,3.1,3.9,0.71,3.6,6,1.86,3.1,3,-0.13,2.2,0.7,-1.51
616,0,0,0,2,2.5,2.5,2.75,4.1,3.7,-0.44,4.6,3,-1.56,4.1,4,-0.09,3.5,2.7,-0.81
